0.05 -0.149787
0.122623 -0.138284
0.192553 -0.115563
0.258067 -0.0821815
0.317553 -0.0389626
0.369545 0.0130299
0.412764 0.0725156
0.446145 0.13803
0.468867 0.20796
0.480369 0.280583
0.480369 0.354111
0.468867 0.426734
0.446145 0.496664
0.412764 0.562178
0.369545 0.621664
0.317553 0.673657
0.258067 0.716876
0.192553 0.750257
0.122623 0.772978
0.05 0.784481
0.05 0.149787
0.0761457 0.153928
0.101322 0.162108
0.124908 0.174126
0.146324 0.189685
0.165042 0.208404
0.180602 0.229819
0.19262 0.253406
0.2008 0.278582
0.204941 0.304727
0.204941 0.331199
0.2008 0.357345
0.19262 0.382521
0.180602 0.406107
0.165042 0.427523
0.146324 0.446241
0.124908 0.461801
0.101322 0.473819
0.0761457 0.481999
0.05 0.48614
